ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
360	ST23_Cplx	NA	NA	3	0	0.0000	0
361	NA	A	1.000	14	0	0.0000	0
362	NA	F	1.000	61	0	0.0000	6
363	NA	B2	1.000	7	0	0.0000	0
366	NA	B1	1.000	8	0	0.0000	0
367	ST23_Cplx	NA	NA	4	0	0.0000	0
369	ST23_Cplx	C	1.000	1	0	0.0000	0
371	ST350_Cplx	NA	NA	12	0	0.0000	0
372	NA	B2	1.000	158	89	0.5633	91
373	ST168_Cplx	NA	NA	4	0	0.0000	0
378	ST10_Cplx	NA	NA	13	0	0.0000	0
381	ST590_Cplx	B1	1.000	34	0	0.0000	0
382	ST165_Cplx	NA	NA	11	0	0.0000	0
386	ST20_Cplx	B1	1.000	8	0	0.0000	0
388	NA	NA	NA	27	0	0.0000	0
390	ST95_Cplx	B2	1.000	16	15	0.9375	16
392	NA	B1	1.000	86	80	0.9302	80
393	ST31_Cplx	D	1.000	46	0	0.0000	0
394	ST394_Cplx	D	1.000	120	0	0.0000	0
396	ST29_Cplx	B1	1.000	6	0	0.0000	0
398	ST398_Cplx	A	1.000	72	0	0.0000	0
399	ST399_Cplx	A	1.000	56	0	0.0000	0
401	NA	NA	NA	17	0	0.0000	0
404	ST14_Cplx	B2	1.000	78	75	0.9615	77
405	ST405_Cplx	D	1.000	198	0	0.0000	0
409	NA	NA	NA	74	0	0.0000	0
410	ST23_Cplx	C	1.000	149	0	0.0000	0
414	NA	NA	NA	9	0	0.0000	0
415	ST59_Cplx	F	1.000	3	0	0.0000	0
416	ST95_Cplx	B2	1.000	43	43	1.0000	43
420	NA	B2	1.000	79	0	0.0000	0
421	ST95_Cplx	B2	1.000	76	3	0.0395	2
423	ST23_Cplx	NA	NA	14	0	0.0000	0
424	NA	NA	NA	5	0	0.0000	0
428	NA	B2	1.000	57	0	0.0000	0
429	NA	B2	1.000	38	0	0.0000	0
441	NA	NA	NA	9	0	0.0000	0
442	NA	B1	1.000	326	0	0.0000	0
443	ST205_Cplx	B1	1.000	68	0	0.0000	0
446	ST446_Cplx	B1	1.000	34	0	0.0000	0
447	NA	NA	NA	9	0	0.0000	0
448	ST448_Cplx	B1	1.000	38	0	0.0000	0
449	ST31_Cplx	NA	NA	4	0	0.0000	0
450	NA	A	1.000	12	0	0.0000	0
452	NA	B2	1.000	32	0	0.0000	0
